species,class
Ramphotyphlops_polygrammicus,reptiles
Ramphotyphlops_proximus,reptiles
Ramphotyphlops_wiedii,reptiles
Ramphotyphlops_yirrikalae,reptiles
Rattus_colletti,mammals
Rattus_leucopus,mammals
Rattus_lutreolus,mammals
Rattus_tunneyi,mammals
Rattus_villosissimus,mammals
Rhynchoedura_ornata,reptiles
Saltuarius_cornutus,reptiles
Saltuarius_swaini,reptiles
Saproscincus_challengeri,reptiles
Scotorepens_balstoni,mammals
Scotorepens_orion,mammals
Simoselaps_australis,reptiles
Simoselaps_bertholdi,reptiles
Sminthopsis_dolichura,mammals
Sminthopsis_macroura,mammals
Sminthopsis_ooldea,mammals
Strophurus_assimilis,reptiles
Strophurus_intermedius,reptiles
Strophurus_spinigerus,reptiles
Strophurus_williamsi,reptiles
Suta_gouldii,reptiles
Suta_punctata,reptiles
Suta_suta,reptiles
Syconycteris_australis,mammals
Tadarida_australis,mammals
Taphozous_georgianus,mammals
Thylogale_thetis,mammals
Tiliqua_nigrolutea,reptiles
Trichosurus_caninus,mammals
Trichosurus_vulpecula,mammals
Tropidonophis_mairii,reptiles
Tympanocryptis_lineata,reptiles
Uperoleia_arenicola,amphibians
Uperoleia_borealis,amphibians
Uperoleia_inundata,amphibians
Uperoleia_laevigata,amphibians
Uperoleia_micromeles,amphibians
Uperoleia_orientalis,amphibians
Uperoleia_rugosa,amphibians
Uperoleia_trachyderma,amphibians
Varanus_acanthurus,reptiles
Varanus_gilleni,reptiles
Varanus_mertensi,reptiles
Varanus_primordius,reptiles
Varanus_varius,reptiles
Vermicella_annulata,reptiles
