LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:180477	http://biodiversity.org.au/apni.publication/180477	United States Department of Agriculture Bulletin. 1936.		1936	United States Department of Agriculture Bulletin. 1936.				United States Department of Agriculture
urn:lsid:biodiversity.org.au:apni.publication:180409	http://biodiversity.org.au/apni.publication/180409	Taiwania. 1948-.		1948-	Taiwania. 1948-.				National Taiwan University
urn:lsid:biodiversity.org.au:apni.publication:180420	http://biodiversity.org.au/apni.publication/180420	Aubreville, A., Flore de la Nouvelle-Caledonie et Dependances. 1967-1993.		1967-1993	Aubreville, A., Flore de la Nouvelle-Caledonie et Dependances. 1967-1993.				Museum National D'Histoire Naturelle
urn:lsid:biodiversity.org.au:apni.publication:181442	http://biodiversity.org.au/apni.publication/181442	Burke, D., Growing Grevilleas. 1986.		1986	Burke, D., Growing Grevilleas. 1986.				Kangaroo Press
urn:lsid:biodiversity.org.au:apni.publication:181444	http://biodiversity.org.au/apni.publication/181444	McCann, I.R., The Grampians in flower. 1994.		1994	McCann, I.R., The Grampians in flower. 1994.				Victorian National Parks Association
urn:lsid:biodiversity.org.au:apni.publication:181445	http://biodiversity.org.au/apni.publication/181445	Society for Growing Australian Plants, Queensland Region, A Horticultural Guide to Australian Plants. 1976-1993.		1976-1993	Society for Growing Australian Plants, Queensland Region, A Horticultural Guide to Australian Plants. 1976-1993.				SGAP
urn:lsid:biodiversity.org.au:apni.publication:181446	http://biodiversity.org.au/apni.publication/181446	Holliday, I., Overton, B. & Overton, D., Kangaroo Island's Native Plants. 1994.		1994	Holliday, I., Overton, B. & Overton, D., Kangaroo Island's Native Plants. 1994.				The Authors
urn:lsid:biodiversity.org.au:apni.publication:181447	http://biodiversity.org.au/apni.publication/181447	Fairley, A. & Moore, P., Native plants of the Sydney District. 1989.		1989	Fairley, A. & Moore, P., Native plants of the Sydney District. 1989.				Kangaroo Press
urn:lsid:biodiversity.org.au:apni.publication:181448	http://biodiversity.org.au/apni.publication/181448	Ornamental Horticulture.			Ornamental Horticulture.				
urn:lsid:biodiversity.org.au:apni.publication:181449	http://biodiversity.org.au/apni.publication/181449	Your Garden.			Your Garden.				
urn:lsid:biodiversity.org.au:apni.publication:181450	http://biodiversity.org.au/apni.publication/181450	American Nurseryman.			American Nurseryman.				
urn:lsid:biodiversity.org.au:apni.publication:181451	http://biodiversity.org.au/apni.publication/181451	Garden Lover.			Garden Lover.				
urn:lsid:biodiversity.org.au:apni.publication:181453	http://biodiversity.org.au/apni.publication/181453	Your Australian Garden.			Your Australian Garden.				David G. Stead Memorial Foundation
urn:lsid:biodiversity.org.au:apni.publication:181455	http://biodiversity.org.au/apni.publication/181455	Greenworld. 1983-.		1983-	Greenworld. 1983-.				Glenvale Publications
urn:lsid:biodiversity.org.au:apni.publication:181456	http://biodiversity.org.au/apni.publication/181456	Lord, E.E., Shrubs and trees for Australian gardens. 1970.		1970	Lord, E.E., Shrubs and trees for Australian gardens. 1970.				Lothian
urn:lsid:biodiversity.org.au:apni.publication:181457	http://biodiversity.org.au/apni.publication/181457	Norwood Plant Directory. 1981.		1981	Norwood Plant Directory. 1981.				Norwood Industries Pty Ltd
urn:lsid:biodiversity.org.au:apni.publication:181462	http://biodiversity.org.au/apni.publication/181462	George, A.S., An Introduction to the Proteaceae of Western Australia. 1984.		1984	George, A.S., An Introduction to the Proteaceae of Western Australia. 1984.				Kangaroo Press
urn:lsid:biodiversity.org.au:apni.publication:181464	http://biodiversity.org.au/apni.publication/181464	Boomsma, C.D., Native Trees of South Australia. 1972-1981.		1972-1981	Boomsma, C.D., Native Trees of South Australia. 1972-1981.				Conservator of Forests
urn:lsid:biodiversity.org.au:apni.publication:182437	http://biodiversity.org.au/apni.publication/182437	Taylor, D.W. & Hickey, L.J., Flowering Plant Origin, Evolution & Phylogeny. 1996.		1996	Taylor, D.W. & Hickey, L.J., Flowering Plant Origin, Evolution & Phylogeny. 1996.			Fl. Pl. Orig. Evol. & Phylog.	Chapman & Hall
urn:lsid:biodiversity.org.au:apni.publication:182438	http://biodiversity.org.au/apni.publication/182438	Plant Systematics and Evolution. Supplementum. 1977+.		1977+	Plant Systematics and Evolution. Supplementum. 1977+.			Pl. Syst. Evol., Suppl.	
urn:lsid:biodiversity.org.au:apni.publication:182439	http://biodiversity.org.au/apni.publication/182439	Menge, F.A., Catalogus Plantarum Phanerogamicarum Grudentinensis et Gedanensis. 1839.		1839	Menge, F.A., Catalogus Plantarum Phanerogamicarum Grudentinensis et Gedanensis. 1839.			Cat. Pl. Grudent. Gedan.	
urn:lsid:biodiversity.org.au:apni.publication:182440	http://biodiversity.org.au/apni.publication/182440	Lilja, N., Skanes Flora. 1838 - 1870.		1838 - 1870	Lilja, N., Skanes Flora. 1838 - 1870.			Skaneskfl.	
